Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BC Iglo,Chrome 123.0.0.0,,,03-04-2024 10:56:09,03-04-2024 10:56:20,10.460s,PASSED
,,,,,,,
Test Cases/BC Iglo,Chrome 123.0.0.0,,,03-04-2024 10:56:09,03-04-2024 10:56:20,10.242s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,03-04-2024 10:56:10,03-04-2024 10:56:12,2.167s,PASSED
"navigateToUrl(""https://www.indocyber.co.id/"")",Chrome 123.0.0.0,,,03-04-2024 10:56:12,03-04-2024 10:56:12,0.545s,PASSED
"click(findTestObject(""Object Repository/BC Iglo/Page_Home  Indocyber/a_Bootcamp""))",Chrome 123.0.0.0,,,03-04-2024 10:56:12,03-04-2024 10:56:15,2.255s,PASSED
"click(findTestObject(""Object Repository/BC Iglo/Page_Join Bootcamp at Indocyber  Indocyber/button_Apply Now""))",Chrome 123.0.0.0,,,03-04-2024 10:56:15,03-04-2024 10:56:17,2.126s,PASSED
"setText(findTestObject(""Object Repository/BC Iglo/Page_Join Bootcamp at Indocyber  Indocyber/input_JOIN NOW_name""), ""Faraz Septarian Adi Nugroho"")",Chrome 123.0.0.0,,,03-04-2024 10:56:17,03-04-2024 10:56:18,0.950s,PASSED
"setText(findTestObject(""Object Repository/BC Iglo/Page_Join Bootcamp at Indocyber  Indocyber/input_JOIN NOW_email""), ""faraz.spt@indocyber.id"")",Chrome 123.0.0.0,,,03-04-2024 10:56:18,03-04-2024 10:56:18,0.674s,PASSED
"setText(findTestObject(""Object Repository/BC Iglo/Page_Join Bootcamp at Indocyber  Indocyber/input_JOIN NOW_handphone""), ""0812345678"")",Chrome 123.0.0.0,,,03-04-2024 10:56:18,03-04-2024 10:56:19,0.681s,PASSED
"click(findTestObject(""Object Repository/BC Iglo/Page_Join Bootcamp at Indocyber  Indocyber/div_OracleSQL Server.NETJavaMagicJOIN NOWRe_425abe""))",Chrome 123.0.0.0,,,03-04-2024 10:56:19,03-04-2024 10:56:19,0.333s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,03-04-2024 10:56:19,03-04-2024 10:56:20,0.206s,PASSED
