Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
web iglo,Chrome 123.0.0.0,,,03-04-2024 11:02:46,03-04-2024 11:02:55,8.303s,PASSED
,,,,,,,
Test Cases/Web Iglo,Chrome 123.0.0.0,,,03-04-2024 11:02:46,03-04-2024 11:02:55,8.109s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,03-04-2024 11:02:47,03-04-2024 11:02:49,2.001s,PASSED
"navigateToUrl(""https://www.indocyber.co.id/"")",Chrome 123.0.0.0,,,03-04-2024 11:02:49,03-04-2024 11:02:49,0.240s,PASSED
"click(findTestObject(""Object Repository/contact_us/Page_Home  Indocyber/a_Contact Us""))",Chrome 123.0.0.0,,,03-04-2024 11:02:49,03-04-2024 11:02:51,1.696s,PASSED
"setText(findTestObject(""Object Repository/contact_us/Page_Contact Us  Indocyber/input_What can we do for you_name""), ""Faraz Septarian"")",Chrome 123.0.0.0,,,03-04-2024 11:02:51,03-04-2024 11:02:53,2.214s,PASSED
"setText(findTestObject(""Object Repository/contact_us/Page_Contact Us  Indocyber/input_What can we do for you_email""), ""faraz.nugroho@indocyber.id"")",Chrome 123.0.0.0,,,03-04-2024 11:02:53,03-04-2024 11:02:54,0.723s,PASSED
"takeScreenshotAsCheckpoint(""1"")",Chrome 123.0.0.0,,,03-04-2024 11:02:54,03-04-2024 11:02:54,0.700s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,03-04-2024 11:02:54,03-04-2024 11:02:55,0.206s,PASSED
