Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
web iglo,Chrome 123.0.0.0,,,02-04-2024 22:06:35,02-04-2024 22:06:44,8.854s,PASSED
,,,,,,,
Test Cases/Web Iglo,Chrome 123.0.0.0,,,02-04-2024 22:06:35,02-04-2024 22:06:44,8.642s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 22:06:35,02-04-2024 22:06:37,2.062s,PASSED
"navigateToUrl(""https://www.indocyber.co.id/"")",Chrome 123.0.0.0,,,02-04-2024 22:06:37,02-04-2024 22:06:38,0.361s,PASSED
"click(findTestObject(""Object Repository/contact_us/Page_Home  Indocyber/a_Contact Us""))",Chrome 123.0.0.0,,,02-04-2024 22:06:38,02-04-2024 22:06:40,1.896s,PASSED
"setText(findTestObject(""Object Repository/contact_us/Page_Contact Us  Indocyber/input_What can we do for you_name""), ""Faraz Septarian"")",Chrome 123.0.0.0,,,02-04-2024 22:06:40,02-04-2024 22:06:42,2.213s,PASSED
"setText(findTestObject(""Object Repository/contact_us/Page_Contact Us  Indocyber/input_What can we do for you_email""), ""faraz.nugroho@indocyber.id"")",Chrome 123.0.0.0,,,02-04-2024 22:06:42,02-04-2024 22:06:43,0.783s,PASSED
"takeScreenshotAsCheckpoint(""1"")",Chrome 123.0.0.0,,,02-04-2024 22:06:43,02-04-2024 22:06:43,0.811s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 22:06:43,02-04-2024 22:06:44,0.200s,PASSED
