Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
web iglo,Chrome 123.0.0.0,,,03-04-2024 11:00:38,03-04-2024 11:00:46,8.734s,PASSED
,,,,,,,
Test Cases/Web Iglo,Chrome 123.0.0.0,,,03-04-2024 11:00:38,03-04-2024 11:00:46,8.510s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,03-04-2024 11:00:38,03-04-2024 11:00:40,1.985s,PASSED
"navigateToUrl(""https://www.indocyber.co.id/"")",Chrome 123.0.0.0,,,03-04-2024 11:00:40,03-04-2024 11:00:40,0.290s,PASSED
"click(findTestObject(""Object Repository/contact_us/Page_Home  Indocyber/a_Contact Us""))",Chrome 123.0.0.0,,,03-04-2024 11:00:40,03-04-2024 11:00:42,1.835s,PASSED
"setText(findTestObject(""Object Repository/contact_us/Page_Contact Us  Indocyber/input_What can we do for you_name""), ""Faraz Septarian"")",Chrome 123.0.0.0,,,03-04-2024 11:00:42,03-04-2024 11:00:45,2.510s,PASSED
"setText(findTestObject(""Object Repository/contact_us/Page_Contact Us  Indocyber/input_What can we do for you_email""), ""faraz.nugroho@indocyber.id"")",Chrome 123.0.0.0,,,03-04-2024 11:00:45,03-04-2024 11:00:45,0.687s,PASSED
"takeScreenshotAsCheckpoint(""1"")",Chrome 123.0.0.0,,,03-04-2024 11:00:45,03-04-2024 11:00:46,0.719s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,03-04-2024 11:00:46,03-04-2024 11:00:46,0.174s,PASSED
