Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
web iglo,Chrome 123.0.0.0,,,02-04-2024 22:30:24,02-04-2024 22:30:33,9.182s,PASSED
,,,,,,,
Test Cases/Web Iglo,Chrome 123.0.0.0,,,02-04-2024 22:30:24,02-04-2024 22:30:33,8.962s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 22:30:25,02-04-2024 22:30:27,2.181s,PASSED
"navigateToUrl(""https://www.indocyber.co.id/"")",Chrome 123.0.0.0,,,02-04-2024 22:30:27,02-04-2024 22:30:28,0.732s,PASSED
"click(findTestObject(""Object Repository/contact_us/Page_Home  Indocyber/a_Contact Us""))",Chrome 123.0.0.0,,,02-04-2024 22:30:28,02-04-2024 22:30:30,2.015s,PASSED
"setText(findTestObject(""Object Repository/contact_us/Page_Contact Us  Indocyber/input_What can we do for you_name""), ""Faraz Septarian"")",Chrome 123.0.0.0,,,02-04-2024 22:30:30,02-04-2024 22:30:32,2.015s,PASSED
"setText(findTestObject(""Object Repository/contact_us/Page_Contact Us  Indocyber/input_What can we do for you_email""), ""faraz.nugroho@indocyber.id"")",Chrome 123.0.0.0,,,02-04-2024 22:30:32,02-04-2024 22:30:32,0.727s,PASSED
"takeScreenshotAsCheckpoint(""1"")",Chrome 123.0.0.0,,,02-04-2024 22:30:32,02-04-2024 22:30:33,0.771s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,02-04-2024 22:30:33,02-04-2024 22:30:33,0.186s,PASSED
